"X","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"11459",11459,550,127,-40.8,161,18,0.11,0.11,-0.15,47,43,-161,167,602,-305,-22.7,-49.4,-12.4,17,0.34,-0.53,0.89,119,-95,-75,748,-41,118,47.32430432,-28.72539627,-100.4325541,17,0.1,0.1,0.07,-46,74,-137,-557,263,73,0,0,0,41,1.04,1.59,0.71,-277,294,8,-694,471,611,"C"
"4266",4266,656,113,30.2,-12.1,17,0.11,0.11,-0.16,-30,63,-156,36,605,-339,156,-52.5,93.8,32,0.26,-0.5,0.79,-301,-44,-76,-416,290,506,-35.17582008,-38.25219028,103.7964847,4,-0.19,0.1,0.28,-13,-12,30,-547,312,-112,1.69,-0.92,-82.5,2,-0.03,0.05,-0.15,-3,17,-7,78,593,427,"A"
"10714",10714,458,1.12,4,-87.9,5,0.03,0,0.03,-13,4,46,46,628,-305,0,0,0,52,-1,0.82,-0.61,111,-48,-493,436,-211,-445,54.21573322,-53.01531257,-76.34528861,30,0.35,0.31,-0.13,-147,150,-201,-546,253,112,152,-9.08,66.5,37,0.05,0.14,0.48,208,244,-177,74,615,663,"C"
"14624",14624,490,1.13,3.37,-87.6,4,-0.03,-0.02,-0.05,-12,6,39,44,629,-322,0,0,0,15,2.04,-0.8,-0.02,24,131,-68,613,86,339,68.45938312,-49.02337044,-66.26076165,30,0.19,0.55,-0.36,-137,184,-179,-476,383,85,149,30.3,134,31,-0.77,2.7,-0.05,-138,231,-138,-667,472,689,"D"
"6472",6472,347,1.34,7.41,-92.6,3,-0.02,0.03,-0.02,-19,4,26,4,612,-307,119,-52.3,-20.8,28,1.75,-0.67,0.11,130,11,-236,752,-176,-91,22.11807148,-22.11807148,125.5337579,1,0,0.02,0.02,-3,3,13,-543,304,-27,73.4,65.4,125,27,-0.29,3.03,0.71,-156,99,-183,-667,96,503,"B"
"3843",3843,430,0.49,5.05,-89,5,0.11,0.02,0.03,-14,2,42,36,641,-292,0,0,0,20,-2.42,1.2,-0.82,63,106,-156,746,-17,110,66.67950817,-44.65905242,-71.6139339,30,0.22,0.48,0.03,-125,179,-190,-502,385,-21,138,70.2,178,30,-0.19,0.75,0.15,-205,-88,-196,-591,-47,459,"A"
"15763",15763,798,-14.1,-0.67,-85.7,6,0.06,0.22,1.12,-14,-7,53,24,626,-328,110,-33.9,-24.7,33,3.48,-1.08,0.36,108,50,-303,648,-131,-265,64.77347484,-20.95937879,87.85772623,5,2.07,-0.95,-0.74,-10,29,37,-426,246,297,180,14.9,-30.6,22,-0.35,-4.7,-0.77,116,22,180,496,-654,41,"D"
"2629",2629,324,1.08,8.08,-93.8,3,0.06,-0.02,0,-23,5,24,-4,605,-303,-137,11,-167,34,0,-0.03,0,-286,110,-121,-373,335,514,74.83780475,0,82.24182793,2,-0.1,-0.1,-0.1,0,13,14,-540,328,-37,15.2,-63.5,-139,36,0.02,0,-0.02,196,201,-217,-4,654,463,"A"
"9132",9132,836,120,27.7,-8.77,19,-0.71,-0.03,-0.49,-38,71,-171,-18,582,-360,139,-9.48,89.7,17,2.76,-1.61,-1.18,65,78,126,-48,485,444,-114.6749759,-38.89409755,16.03531352,15,0.5,-0.87,0.08,-57,-137,24,161,-717,-189,122,-10.2,87,33,0.11,0.85,0.25,93,271,-148,-210,774,743,"B"
"19311",19311,795,1.58,2.69,-88.4,3,0,0.05,0,-2,3,29,36,573,-418,55.5,-21.3,49.6,14,2.68,-0.45,-0.08,0,132,27,496,29,483,60.41164515,9.101121098,95.787431,4,-0.31,0.13,0.08,4,25,36,-478,180,285,-76.9,36.8,163,36,-0.21,-0.18,0.28,-184,202,226,-1270,1450,-959,"E"
"12686",12686,832,123,25.9,-3.07,19,-0.45,-0.03,-0.44,-42,69,-173,7,580,-373,2.85,-15.9,-39.3,26,-2.49,0.42,0.28,198,10,159,402,235,484,-26.03568503,4.291740576,130.6762961,10,0.47,0.18,-0.49,4,-24,90,521,-526,-56,146,2.67,102,39,0,2.2,0.31,61,336,-173,-429,762,626,"C"
"19433",19433,823,140,20.3,18.3,22,-0.47,-0.1,-0.98,-54,49,-207,13,521,-481,115,11.1,91.2,22,-4.13,1.27,-0.25,-9,79,199,-84,341,580,-25.74933131,11.78064473,128.6510372,10,1.03,0.21,-1.05,12,-26,98,517,-532,-19,175,25.3,-159,27,0.67,-4.22,-0.89,-79,197,-158,-599,-97,341,"E"
"17749",17749,307,1.55,3.1,-87.8,3,-0.06,0,-0.05,-8,5,24,46,566,-433,95.4,-30.1,9.49,21,2.81,-1.22,-0.13,126,129,-101,720,-35,88,53.48227175,40.56298345,87.03161819,12,-0.02,-0.26,-0.05,48,62,93,-304,296,362,178,24.1,-80.6,28,-0.22,2.97,1.16,-40,-192,190,210,-828,162,"E"
"5686",5686,73,122,27.3,-6.06,20,-0.58,-0.03,-0.46,-38,70,-178,-6,580,-373,157,-70.3,75.1,29,2.55,-1.91,-0.8,253,68,117,546,354,235,-119.6858472,-12.09665201,35.20005105,12,0.4,-0.87,0.13,-14,-108,40,416,-619,-137,117,7.24,94,33,0.03,0.03,-0.03,137,235,-169,-214,782,716,"B"
"7346",7346,518,126,-43.5,166,18,0.13,0.11,-0.16,53,41,-160,162,602,-315,-128,68.4,165,31,0.42,-0.27,0.43,-294,-34,-63,-375,330,528,58.26555391,-28.55363711,-90.44119704,16,0.39,-0.26,-0.28,-43,84,-120,-534,289,89,0,0,0,38,1.08,0.55,0.59,15,367,-28,-77,746,607,"B"
"9478",9478,93,123,25.8,-4.32,20,-0.42,-0.03,-0.46,-40,71,-175,-2,580,-366,63.7,41.1,37.5,21,-2.7,0.53,-0.39,145,6,147,212,240,591,-52.81483462,20.2964583,99.70831486,9,0.29,-0.63,0.41,18,-45,75,414,-626,-50,148,19.6,132,39,-0.69,3.23,0.85,-62,345,-146,-662,622,759,"C"
"11879",11879,616,128,-40.7,161,18,0.08,0.11,-0.18,48,46,-163,163,594,-318,-29.7,61.9,-106,30,0.29,-0.51,0.82,-285,-42,-67,-391,343,526,45.77280335,-29.69623296,-101.218453,17,0.29,0,-0.2,-49,74,-142,-554,248,67,0,0,0,33,1.24,0.93,0.71,72,317,-35,149,571,579,"C"
"5971",5971,86,121,26.2,-4.3,19,-0.37,-0.05,-0.38,-41,72,-165,-12,589,-360,108,6.43,-55.4,44,1.86,-2.04,0.31,337,-135,-241,423,-170,-509,-36.81028033,24.99898317,111.8886919,9,0.87,0.8,-1.08,22,-32,80,505,-544,-88,135,6.69,95.6,33,-0.42,2.31,-0.02,26,281,-161,-383,812,806,"B"
"11696",11696,560,126,-41.5,162,17,0.11,0.11,-0.18,51,42,-158,163,607,-305,-12.3,2.8,-52.1,15,2.15,-1.22,1.23,-132,-26,61,241,229,558,39.13576327,-33.78064809,-104.1056014,16,0.18,0.06,0,-53,61,-138,-561,237,97,0,0,0,45,1,0.53,0.43,-318,310,24,-703,508,706,"C"
"7101",7101,444,0.86,6.01,-87.8,4,-0.11,-0.02,-0.07,-15,3,31,52,634,-315,0,0,0,32,3.02,-2.02,0.79,60,7,-304,665,-169,-270,94.86477924,-20.84681819,-57.61454518,34,0.34,-0.21,-0.57,-68,267,-179,-124,597,61,-174,34.3,-108,33,-0.96,2.83,0.33,-81,-201,-234,-176,-566,62,"B"
"12182",12182,724,120,14.5,1.34,18,0.05,0.13,-0.21,-19,66,-167,28,596,-332,-44.2,16.1,-77.8,22,-1.77,0.37,-0.03,-204,-28,57,54,227,636,-101.3611881,-46.71637183,28.0818299,6,0.08,0.29,-0.07,-26,-49,16,-447,430,1,28.9,30.1,-56.7,19,-0.34,1.28,0.13,-143,120,31,-325,766,601,"C"
"6032",6032,242,1.59,4.02,-88.9,2,0.02,0,0.02,-7,3,17,34,571,-431,86.9,-20,43.9,20,2.3,-1.24,0.1,30,189,-38,529,126,393,27.17775619,100.6756004,48.06104175,21,-0.64,0.14,0.46,170,54,93,230,378,375,178,19.1,110,38,-0.21,-0.31,0.34,-65,303,214,-664,1130,-509,"B"
"10720",10720,458,0.9,4.89,-88,5,0.03,0,-0.07,-16,-3,43,48,635,-301,0,0,0,28,3.64,-2.57,0.8,51,62,-261,732,-93,-136,52.41984343,-50.82119057,-79.80849739,29,0.37,0.1,-0.57,-140,144,-206,-533,269,129,150,-3.77,89.3,43,0.48,-2.87,-0.2,217,328,-149,-118,744,756,"C"
"14628",14628,490,0.63,3.59,-87.7,4,0.1,0.02,0.02,-13,3,34,46,628,-300,0,0,0,15,1.01,-0.4,0.33,-16,147,15,442,162,489,77.28120672,-44.58346507,-60.83640809,30,0.56,1.3,-0.82,-126,204,-167,-390,451,99,142,21.8,113,39,-0.13,0.9,0.25,-78,357,-126,-571,685,772,"D"
"436",436,57,124,25.9,-2.15,20,-0.43,-0.03,-0.48,-40,71,-175,2,579,-375,108,-25.9,110,12,-1.85,0.37,0.21,35,29,111,-234,348,548,-11.42270931,29.55638428,125.2671998,8,0.53,-0.18,-0.25,23,-9,75,527,-510,-103,99.5,45.4,101,36,0.61,-2.42,-0.16,2,307,-168,-545,679,553,"A"
"7447",7447,522,127,-43.2,164,18,0.08,0.11,-0.18,52,44,-162,163,610,-312,-59.2,-63.7,32.5,36,-1.11,-0.08,0.56,115,-134,-308,507,-90,-470,116.8401837,12.93500116,-37.87617,24,0.11,0.32,-0.07,30,214,-86,-187,563,122,0,0,0,47,1.16,-0.53,0.28,-42,462,-20,-117,762,561,"B"
"9966",9966,269,1.49,2.66,-87.9,2,-0.02,0,-0.02,-6,3,21,43,569,-434,80.5,0.58,119,31,-1.16,0.08,0.11,-229,172,-88,-340,291,541,6.972979491,-21.05726186,-134.8647323,1,0.51,0.05,-0.59,-3,1,-14,-510,133,251,-175,6.53,110,37,-0.63,-0.1,0.66,-81,280,223,-675,1140,-504,"C"
"7324",7324,516,125,-43.6,167,18,0.11,0.11,-0.18,52,42,-158,164,606,-307,63.6,51.3,33.6,24,1.09,-0.77,0.48,-230,-22,23,-116,332,584,96.5,-11.8,-59.1,18,-0.26,1.06,-0.03,-21,146,-99,-371,469,97,0,0,0,42,0.19,3.21,0.95,-252,323,50,-697,539,819,"B"
"1871",1871,227,1.36,4.42,-87.6,3,0.06,0.02,-0.07,-11,3,27,59,568,-427,118,-49.8,-54.8,40,1.45,-0.11,0.38,166,39,-351,551,-174,-371,98.52579467,50.15852882,27.59514246,6,0.08,-0.74,-0.54,30,52,17,-268,396,320,-145,0.39,-25.2,23,-0.21,-2.54,-0.1,139,-103,142,386,-647,-9,"A"
"12435",12435,762,120,14.3,2.68,18,0.16,0.1,-0.18,-22,65,-166,21,597,-323,-38,7.29,-70.2,21,2.52,-1.35,0.71,-193,-13,68,149,265,580,-117.7284076,-36.90920387,13.02446816,7,-0.02,0.32,0.03,-25,-64,9,-461,413,-20,-38.9,37.6,-152,44,0.13,-0.31,0.11,-422,-71,15,-675,203,388,"C"
"4159",4159,647,124,-42.6,166,17,0.08,0.11,-0.16,47,44,-157,173,613,-299,-41.1,16.3,-134,28,0.37,-0.48,0.85,-264,-67,-9,-290,234,624,37.17905368,-32.34860141,-106.7037841,16,0.02,0.18,-0.07,-49,56,-135,-573,232,52,0,0,0,39,0.98,0.63,0.49,24,381,-29,-34,716,497,"A"
"17204",17204,159,151,6.93,49,25,0.16,0.08,-0.74,-13,58,-239,24,486,-510,-52.8,-19.7,-6.47,16,-1.41,0.13,0.72,83,-103,-75,728,-35,70,42.80956335,90.1327694,-47.94210856,2,0.34,0.9,-0.18,17,9,-10,-219,578,-7,15.2,48.5,-70,24,0.56,-2.65,-0.38,-152,177,21,-454,719,549,"E"
"3746",3746,426,0.36,4.65,-88.4,4,0.02,0.02,-0.02,-11,3,42,43,625,-310,0,0,0,32,1.16,-0.35,-0.02,168,47,-259,738,-74,-104,58.14415859,-46.73984227,-78.07363181,31,0.79,0.19,-0.62,-137,167,-214,-458,431,-34,-171,77.9,-133,31,-0.08,1.51,0.59,-208,-77,-205,-560,-139,342,"A"
"9524",9524,95,123,25.3,-2.81,19,-0.45,-0.03,-0.44,-41,70,-172,11,584,-369,3.67,56.3,-39.5,5,-0.35,-0.03,-0.02,-8,-16,42,-438,334,472,7.066168334,29.859611,126.3447815,9,0.51,-0.14,-0.38,25,6,81,526,-520,-78,157,29.3,164,29,0.08,0.53,0.13,-189,134,-172,-708,230,506,"C"
"4913",4913,685,119,17,-0.28,18,0.11,0.13,-0.21,-23,62,-161,16,600,-335,-38.7,35.9,-100,28,0.96,-0.69,0.92,-277,-22,11,-422,310,565,-21.36205913,-21.36205913,126.6300036,2,-0.18,0.21,0.21,-4,-4,18,-486,365,-195,-55.8,16.9,178,51,0.32,-0.67,0,-447,-228,10,-513,-247,159,"A"
"10911",10911,465,1.12,5.38,-87.8,4,-0.13,0,0.02,-13,1,37,49,633,-310,0,0,0,20,0.71,-0.27,-0.13,73,101,-145,642,80,309,55.95929358,-51.42855091,-76.16184411,29,0.39,-0.21,-0.36,-139,150,-195,-519,322,64,133,10.7,121,41,0.98,-4.05,0.38,166,335,-159,-476,749,748,"C"
"6143",6143,246,1.14,2.42,-88.3,2,0.03,-0.02,-0.08,-7,2,22,41,563,-437,78.2,-0.2,94.7,22,-1.99,0.66,-0.43,-113,180,17,-8,244,625,42.24272245,82.40558536,57.23066741,20,1.3,-0.95,-0.43,145,81,107,88,392,401,174,8.06,-116,26,-0.88,2.54,0.95,-97,-126,201,-377,-288,-37,"B"
"18691",18691,596,152,-33.7,131,23,0.37,0.05,-0.36,61,49,-212,169,520,-462,-91.9,-59.7,53.5,30,3.2,-1.81,0.71,92,-118,-258,621,-30,-368,118.0356891,16.57351262,-35.00868502,24,-0.32,0.75,0.13,38,213,-79,-107,581,123,0,0,0,40,0.77,1.48,0.72,-10,392,-8,-163,795,704,"E"
"10159",10159,277,1.22,1.96,-87.3,3,0.02,0,-0.07,-6,4,24,45,566,-438,74.8,1.85,106,31,2.14,-0.43,0.13,-234,178,-77,-270,300,594,53.07519722,13.84919262,-101.8469666,4,0.03,0.06,0,6,22,-37,-498,232,214,-175,2.9,112,41,0.29,-1.45,-0.1,-112,315,216,-739,1170,-513,"C"
"1481",1481,211,121,-43.9,173,17,0.1,0.11,-0.18,49,42,-158,163,613,-297,-51.5,69.8,-132,28,0.21,-0.5,0.74,-273,-38,-24,-288,354,546,63.26708037,-24.10168473,-87.93403137,19,0.45,0.03,-0.28,-44,109,-142,-517,352,-13,0,0,0,49,1.57,-1.46,0,-41,480,12,-318,820,681,"A"
"14965",14965,573,125,-42.1,166,17,0.11,0.11,-0.18,47,41,-159,161,601,-308,-22.7,-49.1,-2.81,13,2.31,-0.93,0.36,87,-83,-33,724,24,164,70.49602221,-24.32424343,-80.74876266,18,0.08,-0.11,-0.05,-42,113,-126,-504,346,65,0,0,0,48,1.14,0.64,0.61,-222,412,-5,-592,719,698,"D"
"17806",17806,398,1.43,2.44,-87.4,3,0.03,0.03,0.05,-8,5,28,42,573,-416,90,-40.6,4.86,17,-3.48,0.95,-0.43,109,99,-85,740,-111,43,48.1436241,26.66081925,100.8941908,13,-0.88,0.72,0.25,33,58,106,-296,312,361,177,11.4,17.5,44,0.27,-1.7,-0.1,242,308,177,330,129,-103,"E"
"16697",16697,44,2.38,8.45,-93.1,3,0,0,-0.02,-19,3,22,12,611,-315,140,-28.4,-59.4,44,-1.98,0.82,0.3,76,-91,-418,460,-354,-396,-75.41736529,12.01087356,-80.22487013,6,0.43,0,0.23,7,-40,-42,-608,166,-149,147,37.7,124,35,0.11,0.02,0.08,-61,267,-201,-545,715,715,"E"
"1180",1180,197,123,-43.1,169,18,0.14,0.11,-0.15,50,46,-158,166,612,-310,93.4,84.1,-154,30,0.26,-0.4,0.67,-285,-66,-35,-340,311,589,48.86850754,-30.27789498,-98.10475593,16,0.29,-0.08,-0.34,-47,74,-131,-556,261,58,0,0,0,40,1,0.72,0.56,13,385,-54,-33,711,421,"A"
"4059",4059,642,121,-43.8,173,17,0.13,0.11,-0.16,49,43,-158,168,611,-297,43.8,66.6,-3.04,23,0.82,-0.85,0.94,-224,-47,7,-167,294,601,54.40385165,-31.17485312,-92.52292867,16,0.16,0.06,-0.16,-48,81,-125,-553,289,24,0,0,0,41,0.8,1.19,0.52,-23,405,-25,-178,790,608,"A"
"13594",13594,142,118,17.6,-0.54,17,0.11,0.14,-0.26,-26,58,-159,23,601,-331,-46.9,-21.6,-28.4,10,-1.78,0.05,0.84,15,-99,19,631,42,326,107.0516933,49.90690163,-3.191263751,6,-0.05,-0.05,-0.21,30,55,-2,-295,550,-55,22.9,87.2,-31,37,0.21,-1.83,-0.25,-349,103,-2,-669,390,418,"D"
"13601",13601,142,117,18,-2.24,17,0.06,0.11,-0.1,-17,59,-157,22,604,-315,-70,-33.7,12.2,24,-1.12,-0.11,0.62,145,-137,-131,732,-52,-88,103.9696875,52.90716543,4.207342346,5,-0.08,-0.03,0.03,24,41,2,-313,530,-28,-97.3,47.1,-144,49,0.13,-0.72,0.23,-449,-173,-1,-560,-162,197,"D"
"14775",14775,495,0.6,5.01,-88.5,4,0.1,-0.05,-0.15,-14,-3,41,41,632,-300,0,0,0,37,0.16,-0.34,0.59,146,-2,-327,694,-178,-190,59.83766851,-50.84273873,-73.10035602,29,0.48,0.27,-0.46,-140,162,-192,-489,349,96,152,31.7,132,34,-0.13,0.88,0.13,-153,232,-191,-640,541,627,"D"
"17987",17987,499,1.07,5.02,-88.6,5,0.02,-0.02,-0.02,-16,2,45,43,633,-302,0,0,0,13,0.03,-0.06,0.15,6,119,-32,480,143,473,55.39610675,-51.3225062,-76.75846934,29,0.32,0.16,-0.43,-140,150,-198,-522,311,74,148,32.8,127,32,0.06,-0.03,0,-116,236,-179,-608,608,677,"E"
"16380",16380,31,-5.49,3.72,-92.8,4,0.13,0.03,0.08,-1,-1,44,-7,623,-254,106,-62,-22.6,27,2.01,-0.74,0.48,115,-6,-239,762,-257,-64,101.4228985,10.75614048,54.3636532,10,0.59,-1.4,-0.3,11,87,53,-446,425,41,141,12.3,111,45,0.06,-0.9,-0.2,-124,382,-185,-451,711,555,"E"
"2227",2227,308,0.53,5.32,-88,5,0.03,0,0,-14,1,46,53,631,-307,0,0,0,39,0.02,-0.03,-0.05,-286,160,-195,-430,457,343,47.50807515,-49.38087967,-85.17082548,31,0.35,0.14,-0.41,-143,138,-227,-564,290,2,43.6,-64,171,32,0.24,0.03,0.36,221,74,-208,126,534,732,"A"
"19413",19413,822,138,21.1,18.3,23,-0.66,-0.06,-0.98,-52,51,-218,2,544,-431,98.5,22.6,46.4,23,-5.57,1.61,0.11,51,86,202,440,214,470,-3.403163539,15.9458546,140.7685755,9,0.93,0.35,-0.92,14,-3,87,559,-475,-42,175,21.2,-103,54,0.63,-2.09,-0.21,96,-413,-315,-35,-716,-238,"E"
"17902",17902,402,1.34,3.59,-88.5,3,0.02,0.03,0,-10,4,30,31,584,-416,103,-47.7,-23.6,23,-4.01,0.43,0.02,114,70,-183,699,-157,-198,42.00451494,21.06842469,109.4716876,10,0.13,-0.02,-0.1,20,39,85,-353,235,380,-174,10.3,68.9,42,-0.55,-2.68,0.28,-11,359,203,-314,907,-375,"E"
